Symbol,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17
A,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
AA,0.23,0.23,0.23,0.12,0.07,0.07,0.07,0.07,0.07,0.01,0.01
AAL,-0.27,-0.27,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
AAP,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.76,0.76
AAPL,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
ABBV,3.27,3.27,3.27,3.18,3.18,1.87,1.87,1.81,1.81,1.81,1.81
ABM,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
ABNB,2.31,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
ABT,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.49,1.5,1.5
ABVX,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
ACB,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
ACHR,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
ACI,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.67,0.68,0.68
ACN,3.44,3.44,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
ADBE,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
ADI,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
ADSK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
AEHR,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0
AEM,1.88,1.91,1.92,1.93,1.93,1.93,1.89,1.89,1.91,1.89,1.89
AEO,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
AFRM,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.57,0.57,0.58
AGNC,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
AGYS,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
AI,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33
AIG,1.59,1.6,1.61,1.64,1.67,1.69,1.69,1.7,1.7,1.7,1.7
AII,0.21,0.3,0.3,0.3,0.3,0.3,0.3,0.37,0.51,0.51,0.51
AIOT,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
AJG,2.5,2.5,2.5,2.51,2.51,2.52,2.52,2.52,2.53,2.54,2.54
ALAB,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
ALB,-0.92,-0.92,-0.93,-0.93,-0.92,-0.92,-0.92,-0.93,-0.93,-0.93,-0.92
ALK,1.09,1.09,1.09,1.09,1.1,1.1,1.1,1.1,1.1,1.1,1.1
ALLY,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
AMAT,2.12,2.12,2.12,2.12,2.11,2.11,2.11,2.11,2.11,2.11,2.11
AMBA,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
AMD,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
AMSC,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
AMZN,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.56
ANET,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
ANF,2.19,2.19,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
ANTA,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
AOUT,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
APH,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
API,,,,,,,,,,,
APLD,-0.15,-0.15,-0.15,-0.15,-0.15,-0.14,-0.28,-0.28,-0.28,-0.28,-0.28
APOG,0.84,0.84,0.84,0.84,0.84,1.29,1.23,1.23,1.05,1.05,1.05
APP,2.58,2.58,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39
APPS,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
ARBE,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
ARM,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
AS,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
ASAN,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
